timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168447.382,998.047,1.953,-2.930,109.375,28.809
1711168447.386,998.535,-7.324,-14.648,109.863,61.523
1711168447.390,998.535,-9.766,-5.371,96.680,29.297
1711168447.394,947.266,-7.324,3.418,81.543,28.320
1711168447.398,889.160,-2.441,10.742,75.195,13.672
1711168447.402,906.250,-1.953,13.672,24.414,26.855
1711168447.406,898.438,1.465,25.879,-19.043,34.180
1711168447.410,804.199,11.230,18.555,-49.316,6.836
1711168447.414,731.934,6.348,6.348,-85.938,29.785
1711168447.417,745.117,-6.348,21.973,-103.027,38.086
